epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
8,4439.34,0.99304,1.75,2.10222,1.25024,0.64621,0.16975,0.16967,0.11648,0.64933,0.17436,0.17487,0.12171,1.09939,1.9749,2.60585,1.46764,0.008614,0.008614,0.008614
9,4989.27,0.98014,1.68689,1.98237,1.22148,0.66159,0.17825,0.18913,0.12632,0.66939,0.18098,0.18906,0.11801,1.08609,1.96832,2.5694,1.47153,0.008416,0.008416,0.008416
10,5537.2,0.93243,1.54252,1.84546,1.20022,0.78758,0.18718,0.22668,0.14676,0.788,0.18238,0.2213,0.1535,1.10313,1.85681,2.43386,1.45769,0.008218,0.008218,0.008218
11,6085.4,0.92444,1.63727,1.88034,1.21333,0.49896,0.19662,0.20536,0.143,0.51796,0.21753,0.22013,0.15253,1.02439,1.68983,2.68175,1.41715,0.00802,0.00802,0.00802
12,6632.35,0.88349,1.50516,1.80812,1.17658,0.28846,0.23303,0.21884,0.1429,0.29326,0.23897,0.21995,0.14364,1.0038,1.69197,2.18618,1.37577,0.007822,0.007822,0.007822
13,7181.87,0.90153,1.58276,1.73559,1.19234,0.63421,0.26338,0.26512,0.18451,0.65112,0.28132,0.28868,0.20057,0.9598,1.50526,1.95196,1.33067,0.007624,0.007624,0.007624
14,7730.23,0.88298,1.50341,1.69335,1.19124,0.76097,0.1971,0.23089,0.15459,0.79128,0.21253,0.25905,0.18585,1.12887,2.0992,2.23918,1.51498,0.007426,0.007426,0.007426
15,8276.44,0.88683,1.49422,1.67483,1.17781,0.5991,0.22782,0.24201,0.1704,0.63913,0.26131,0.28275,0.1897,0.92374,1.43011,1.8586,1.32124,0.007228,0.007228,0.007228
16,8822.82,0.83687,1.3992,1.54656,1.15267,0.88413,0.2086,0.28336,0.21007,0.90855,0.22264,0.30433,0.22898,0.88652,1.49468,1.82855,1.28368,0.00703,0.00703,0.00703
17,9369.58,0.82068,1.41743,1.5478,1.1379,0.40837,0.3569,0.32273,0.2424,0.42926,0.3819,0.35442,0.25673,0.85919,1.37849,1.74972,1.25234,0.006832,0.006832,0.006832
